Time(dd/mm/yyyy),Carbon dioxide(ppm),Temperature(°C),Relative humidity(%),Atmospheric pressure(hPa)
30/03/2023 9:32:50 AM,"533","12.4","31","824.7"
30/03/2023 9:37:50 AM,"530","12.4","31","824.7"
30/03/2023 9:42:50 AM,"529","12.4","31","824.6"
30/03/2023 9:47:50 AM,"532","12.4","31","824.4"
30/03/2023 9:52:50 AM,"532","12.4","31","824.4"
30/03/2023 9:57:50 AM,"539","12.4","31","824.6"
30/03/2023 10:02:50 AM,"542","12.5","32","824.3"
30/03/2023 10:07:50 AM,"545","12.6","31","824.2"
30/03/2023 10:12:50 AM,"553","12.7","31","824.3"
30/03/2023 10:17:50 AM,"557","12.7","31","824.2"
30/03/2023 10:22:50 AM,"555","12.8","32","824.0"
30/03/2023 10:27:50 AM,"548","12.9","32","823.9"
30/03/2023 10:32:50 AM,"557","12.9","32","823.9"
30/03/2023 10:37:50 AM,"559","13.0","32","823.8"
30/03/2023 10:42:50 AM,"565","13.0","32","823.6"
30/03/2023 10:47:50 AM,"552","13.1","32","823.8"
30/03/2023 10:52:50 AM,"552","13.1","32","823.6"
30/03/2023 10:57:50 AM,"558","13.2","32","823.5"
30/03/2023 11:02:50 AM,"580","13.2","32","823.6"
30/03/2023 11:07:50 AM,"580","13.3","32","823.3"
30/03/2023 11:12:50 AM,"577","13.4","32","823.3"
30/03/2023 11:17:50 AM,"576","13.4","32","823.2"
30/03/2023 11:22:50 AM,"600","13.4","32","823.2"
30/03/2023 11:27:50 AM,"623","13.5","32","823.0"
30/03/2023 11:32:50 AM,"634","13.5","32","823.1"
30/03/2023 11:37:50 AM,"614","13.5","32","822.8"
30/03/2023 11:42:50 AM,"593","13.5","32","822.8"
30/03/2023 11:47:50 AM,"592","13.6","32","822.5"
30/03/2023 11:52:50 AM,"585","13.6","32","822.6"
30/03/2023 11:57:50 AM,"573","13.6","32","822.3"
30/03/2023 12:02:50 PM,"562","13.6","32","822.2"
30/03/2023 12:07:50 PM,"554","13.6","32","822.3"
30/03/2023 12:12:50 PM,"562","13.7","32","822.1"
30/03/2023 12:17:50 PM,"553","13.7","32","822.0"
30/03/2023 12:22:50 PM,"547","13.7","32","821.8"
30/03/2023 12:27:50 PM,"544","13.7","32","821.8"
30/03/2023 12:32:50 PM,"534","13.7","32","821.6"
30/03/2023 12:37:50 PM,"535","13.7","32","821.6"
30/03/2023 12:42:50 PM,"545","13.8","32","821.3"
30/03/2023 12:47:50 PM,"537","13.8","32","821.2"
30/03/2023 12:52:50 PM,"536","13.8","32","821.0"
30/03/2023 12:57:50 PM,"547","13.9","32","820.9"
30/03/2023 1:02:50 PM,"531","13.9","32","820.9"
30/03/2023 1:07:50 PM,"533","14.0","32","820.6"
30/03/2023 1:12:50 PM,"533","14.0","32","820.6"
30/03/2023 1:17:50 PM,"525","14.0","32","820.4"
30/03/2023 1:22:50 PM,"529","14.1","32","820.4"
30/03/2023 1:27:50 PM,"532","14.1","32","820.3"
30/03/2023 1:32:50 PM,"529","14.2","32","820.1"
30/03/2023 1:37:50 PM,"534","14.2","32","820.2"
30/03/2023 1:42:50 PM,"524","14.2","32","820.0"
30/03/2023 1:47:50 PM,"532","14.2","33","819.9"
30/03/2023 1:52:50 PM,"535","14.3","33","819.8"
30/03/2023 1:57:50 PM,"529","14.3","33","819.6"
30/03/2023 2:02:50 PM,"524","14.4","33","819.5"
30/03/2023 2:07:50 PM,"523","14.4","33","819.4"
30/03/2023 2:12:50 PM,"537","14.4","33","819.4"
30/03/2023 2:17:50 PM,"523","14.5","33","819.3"
30/03/2023 2:22:50 PM,"526","14.5","33","819.4"
30/03/2023 2:27:50 PM,"529","14.5","33","819.2"
30/03/2023 2:32:50 PM,"522","14.6","33","819.0"
30/03/2023 2:37:50 PM,"525","14.6","33","819.0"
30/03/2023 2:42:50 PM,"522","14.7","33","819.0"
30/03/2023 2:47:50 PM,"536","14.8","33","818.8"
30/03/2023 2:52:50 PM,"539","14.8","32","818.6"
30/03/2023 2:57:50 PM,"542","14.8","32","818.8"
30/03/2023 3:02:50 PM,"539","14.9","32","818.5"
30/03/2023 3:07:50 PM,"536","14.9","33","818.8"
30/03/2023 3:12:50 PM,"530","15.0","33","818.6"
30/03/2023 3:17:50 PM,"527","15.1","33","818.6"
30/03/2023 3:22:50 PM,"533","15.2","33","818.4"
30/03/2023 3:27:50 PM,"534","15.2","33","818.6"
30/03/2023 3:32:50 PM,"535","15.3","33","818.7"
30/03/2023 3:37:50 PM,"533","15.3","33","818.9"
30/03/2023 3:42:50 PM,"538","15.4","33","818.8"
30/03/2023 3:47:50 PM,"532","15.4","33","818.8"
30/03/2023 3:52:50 PM,"531","15.4","33","818.9"
30/03/2023 3:57:50 PM,"532","15.5","33","818.8"
30/03/2023 4:02:50 PM,"518","15.6","33","818.9"
30/03/2023 4:07:50 PM,"532","15.6","33","819.0"
30/03/2023 4:12:50 PM,"521","15.7","33","818.8"
30/03/2023 4:17:50 PM,"520","15.8","33","818.8"
30/03/2023 4:22:50 PM,"508","15.9","33","818.8"
30/03/2023 4:27:50 PM,"507","15.9","33","818.7"
30/03/2023 4:32:50 PM,"507","16.0","33","818.6"
30/03/2023 4:37:50 PM,"496","16.0","33","818.6"
30/03/2023 4:42:50 PM,"493","16.0","33","818.7"
30/03/2023 4:47:50 PM,"497","16.0","33","818.7"
30/03/2023 4:52:50 PM,"488","16.1","32","818.6"
30/03/2023 4:57:50 PM,"483","16.1","32","818.7"
30/03/2023 5:02:50 PM,"496","16.1","32","818.7"
30/03/2023 5:07:50 PM,"475","16.1","32","818.8"
30/03/2023 5:12:50 PM,"480","16.1","32","818.9"
30/03/2023 5:17:50 PM,"479","16.1","32","818.8"
30/03/2023 5:22:50 PM,"485","16.2","32","818.7"
30/03/2023 5:27:50 PM,"481","16.1","32","818.8"
30/03/2023 5:32:50 PM,"465","16.2","32","819.0"
30/03/2023 5:37:50 PM,"483","16.2","32","819.2"
30/03/2023 5:42:50 PM,"474","16.1","32","819.4"
30/03/2023 5:47:50 PM,"471","16.2","32","820.1"
30/03/2023 5:52:50 PM,"481","16.2","31","820.1"
30/03/2023 5:57:50 PM,"471","16.2","31","820.2"
30/03/2023 6:02:50 PM,"471","16.2","31","820.5"
30/03/2023 6:07:50 PM,"469","16.1","31","820.5"
30/03/2023 6:12:50 PM,"476","16.1","31","820.5"
30/03/2023 6:17:50 PM,"478","16.1","30","820.5"
30/03/2023 6:22:50 PM,"472","16.1","30","820.4"
30/03/2023 6:27:50 PM,"483","16.1","30","820.6"
30/03/2023 6:32:50 PM,"485","16.1","30","820.5"
30/03/2023 6:37:50 PM,"471","16.0","30","820.5"
30/03/2023 6:42:50 PM,"493","16.0","30","820.5"
30/03/2023 6:47:50 PM,"483","16.0","30","820.4"
30/03/2023 6:52:50 PM,"496","15.9","30","820.5"
30/03/2023 6:57:50 PM,"518","15.9","29","820.3"
30/03/2023 7:02:50 PM,"509","15.8","29","820.2"
30/03/2023 7:07:50 PM,"516","15.8","29","820.1"
30/03/2023 7:12:50 PM,"518","15.8","29","820.0"
30/03/2023 7:17:50 PM,"503","15.8","29","820.1"
30/03/2023 7:22:50 PM,"498","15.8","28","820.0"
30/03/2023 7:27:50 PM,"516","15.8","28","820.0"
30/03/2023 7:32:50 PM,"492","15.8","28","820.0"
30/03/2023 7:37:50 PM,"506","15.7","28","820.2"
30/03/2023 7:42:50 PM,"493","15.7","28","819.9"
30/03/2023 7:47:50 PM,"497","15.7","28","820.2"
30/03/2023 7:52:50 PM,"496","15.7","28","820.2"
30/03/2023 7:57:50 PM,"500","15.7","27","820.5"
30/03/2023 8:02:50 PM,"543","15.6","28","820.6"
30/03/2023 8:07:50 PM,"547","15.6","28","820.5"
30/03/2023 8:12:50 PM,"523","15.6","28","820.6"
30/03/2023 8:17:50 PM,"532","15.6","28","820.7"
30/03/2023 8:22:50 PM,"534","15.6","28","820.9"
30/03/2023 8:27:50 PM,"536","15.6","28","820.9"
30/03/2023 8:32:50 PM,"519","15.6","27","821.1"
30/03/2023 8:37:50 PM,"527","15.6","27","821.0"
30/03/2023 8:42:50 PM,"519","15.6","27","821.0"
30/03/2023 8:47:50 PM,"519","15.6","27","821.1"
30/03/2023 8:52:50 PM,"527","15.6","27","820.9"
30/03/2023 8:57:50 PM,"526","15.6","27","820.9"
30/03/2023 9:02:50 PM,"520","15.5","27","820.8"
30/03/2023 9:07:50 PM,"519","15.5","27","820.7"
30/03/2023 9:12:50 PM,"527","15.5","27","820.7"
30/03/2023 9:17:50 PM,"541","15.5","27","820.6"
30/03/2023 9:22:50 PM,"552","15.5","27","820.8"
30/03/2023 9:27:50 PM,"556","15.5","27","820.9"
30/03/2023 9:32:50 PM,"562","15.5","27","821.0"
30/03/2023 9:37:50 PM,"570","15.5","27","821.0"
30/03/2023 9:42:50 PM,"577","15.5","27","821.2"
30/03/2023 9:47:50 PM,"568","15.5","27","821.4"
30/03/2023 9:52:50 PM,"568","15.5","27","821.5"
30/03/2023 9:57:50 PM,"581","15.5","27","821.4"
30/03/2023 10:02:50 PM,"592","15.5","27","821.5"
30/03/2023 10:07:50 PM,"592","15.5","27","821.6"
30/03/2023 10:12:50 PM,"578","15.5","27","821.2"
30/03/2023 10:17:50 PM,"592","15.5","27","821.3"
30/03/2023 10:22:50 PM,"584","15.4","27","821.5"
30/03/2023 10:27:50 PM,"593","15.4","27","821.6"
30/03/2023 10:32:50 PM,"588","15.4","27","821.4"
30/03/2023 10:37:50 PM,"611","15.4","27","821.8"
30/03/2023 10:42:50 PM,"592","15.4","27","821.6"
30/03/2023 10:47:50 PM,"585","15.4","27","821.8"
30/03/2023 10:52:50 PM,"601","15.3","27","821.6"
30/03/2023 10:57:50 PM,"590","15.3","27","821.9"
30/03/2023 11:02:50 PM,"596","15.3","27","821.9"
30/03/2023 11:07:50 PM,"601","15.3","27","822.1"
30/03/2023 11:12:50 PM,"608","15.2","27","822.4"
30/03/2023 11:17:50 PM,"597","15.1","27","822.3"
30/03/2023 11:22:50 PM,"610","15.1","27","822.3"
30/03/2023 11:27:50 PM,"605","15.0","27","822.3"
30/03/2023 11:32:50 PM,"606","15.0","27","822.2"
30/03/2023 11:37:50 PM,"605","14.9","27","822.2"
30/03/2023 11:42:50 PM,"605","14.9","27","822.3"
30/03/2023 11:47:50 PM,"588","14.8","27","822.3"
30/03/2023 11:52:50 PM,"588","14.8","27","822.2"
30/03/2023 11:57:50 PM,"587","14.7","27","822.4"
31/03/2023 12:02:50 AM,"582","14.7","27","822.6"
31/03/2023 12:07:50 AM,"581","14.6","27","822.5"
31/03/2023 12:12:50 AM,"570","14.6","27","822.7"
31/03/2023 12:17:50 AM,"578","14.8","27","822.4"
31/03/2023 12:22:50 AM,"585","15.0","27","822.5"
31/03/2023 12:27:50 AM,"596","15.0","27","822.5"
31/03/2023 12:32:50 AM,"580","15.0","27","822.6"
31/03/2023 12:37:50 AM,"566","14.9","27","822.8"
31/03/2023 12:42:50 AM,"568","14.9","27","822.9"
31/03/2023 12:47:50 AM,"574","14.8","27","822.9"
31/03/2023 12:52:50 AM,"564","14.8","27","822.8"
31/03/2023 12:57:50 AM,"572","14.7","27","823.1"
31/03/2023 1:02:50 AM,"562","14.7","27","823.1"
31/03/2023 1:07:50 AM,"554","14.6","27","823.1"
31/03/2023 1:12:50 AM,"576","14.5","27","823.2"
31/03/2023 1:17:50 AM,"567","14.5","27","823.1"
31/03/2023 1:22:50 AM,"586","14.4","27","823.1"
31/03/2023 1:27:50 AM,"587","14.5","27","823.1"
31/03/2023 1:32:50 AM,"594","14.8","27","823.1"
31/03/2023 1:37:50 AM,"579","14.9","28","823.1"
31/03/2023 1:42:50 AM,"593","14.9","28","823.0"
31/03/2023 1:47:50 AM,"579","14.8","27","823.1"
31/03/2023 1:52:50 AM,"563","14.8","27","822.9"
31/03/2023 1:57:50 AM,"568","14.7","27","823.0"
31/03/2023 2:02:50 AM,"566","14.6","27","822.8"
31/03/2023 2:07:50 AM,"567","14.6","27","822.9"
31/03/2023 2:12:50 AM,"554","14.6","27","823.0"
31/03/2023 2:17:50 AM,"561","14.5","27","823.1"
31/03/2023 2:22:50 AM,"573","14.4","27","823.2"
31/03/2023 2:27:50 AM,"562","14.4","27","823.2"
31/03/2023 2:32:50 AM,"586","14.3","27","823.5"
31/03/2023 2:37:50 AM,"562","14.3","27","823.9"
31/03/2023 2:42:50 AM,"607","14.5","28","824.0"
31/03/2023 2:47:50 AM,"604","14.7","28","824.0"
31/03/2023 2:52:50 AM,"605","14.8","28","824.2"
31/03/2023 2:57:50 AM,"610","14.8","28","824.2"
31/03/2023 3:02:50 AM,"613","14.8","28","823.8"
31/03/2023 3:07:50 AM,"604","14.8","28","824.2"
31/03/2023 3:12:50 AM,"603","14.7","28","824.2"
31/03/2023 3:17:50 AM,"604","14.7","28","824.2"
31/03/2023 3:22:50 AM,"604","14.6","28","824.2"
31/03/2023 3:27:50 AM,"599","14.6","28","824.0"
31/03/2023 3:32:50 AM,"608","14.6","28","824.0"
31/03/2023 3:37:50 AM,"620","14.5","28","824.0"
31/03/2023 3:42:50 AM,"614","14.5","28","824.0"
31/03/2023 3:47:50 AM,"628","14.4","28","824.0"
31/03/2023 3:52:50 AM,"624","14.4","28","824.0"
31/03/2023 3:57:50 AM,"629","14.4","28","824.3"
31/03/2023 4:02:50 AM,"622","14.4","28","824.2"
31/03/2023 4:07:50 AM,"644","14.6","28","824.1"
31/03/2023 4:12:50 AM,"643","14.8","28","824.2"
31/03/2023 4:17:50 AM,"658","14.8","28","824.2"
31/03/2023 4:22:50 AM,"648","14.8","28","824.1"
31/03/2023 4:27:50 AM,"644","14.8","28","824.2"
31/03/2023 4:32:50 AM,"645","14.8","28","824.3"
31/03/2023 4:37:50 AM,"644","14.8","28","824.5"
31/03/2023 4:42:50 AM,"648","14.7","28","824.7"
31/03/2023 4:47:50 AM,"651","14.6","28","824.5"
31/03/2023 4:52:50 AM,"662","14.6","28","824.5"
31/03/2023 4:57:51 AM,"644","14.6","28","824.6"
31/03/2023 5:02:51 AM,"651","14.5","28","824.6"
31/03/2023 5:07:51 AM,"655","14.5","28","824.5"
31/03/2023 5:12:51 AM,"649","14.4","28","824.5"
31/03/2023 5:17:51 AM,"647","14.4","28","824.4"
31/03/2023 5:22:51 AM,"660","14.4","28","824.4"
31/03/2023 5:27:51 AM,"667","14.4","28","824.4"
31/03/2023 5:32:51 AM,"674","14.7","28","824.3"
31/03/2023 5:37:51 AM,"683","14.8","28","824.3"
31/03/2023 5:42:51 AM,"678","14.8","28","824.4"
31/03/2023 5:47:51 AM,"670","14.8","28","824.5"
31/03/2023 5:52:51 AM,"659","14.8","28","824.4"
31/03/2023 5:57:51 AM,"667","14.7","28","824.4"
31/03/2023 6:02:51 AM,"667","14.7","28","824.5"
31/03/2023 6:07:51 AM,"668","14.6","28","824.6"
31/03/2023 6:12:51 AM,"672","14.6","28","824.7"
31/03/2023 6:17:51 AM,"678","14.6","28","824.6"
31/03/2023 6:22:51 AM,"659","14.5","28","824.5"
31/03/2023 6:27:51 AM,"675","14.5","28","824.5"
31/03/2023 6:32:51 AM,"688","14.4","28","824.8"
31/03/2023 6:37:51 AM,"682","14.4","28","824.8"
31/03/2023 6:42:51 AM,"679","14.3","28","824.9"
31/03/2023 6:47:51 AM,"687","14.3","28","824.9"
31/03/2023 6:52:51 AM,"693","14.6","28","825.1"
31/03/2023 6:57:51 AM,"686","14.7","28","825.2"
31/03/2023 7:02:51 AM,"698","14.7","28","825.1"
31/03/2023 7:07:51 AM,"677","14.7","28","825.1"
31/03/2023 7:12:51 AM,"684","14.7","28","825.1"
31/03/2023 7:17:51 AM,"684","14.7","28","825.1"
31/03/2023 7:22:51 AM,"676","14.6","28","825.2"
31/03/2023 7:27:51 AM,"673","14.6","28","825.0"
31/03/2023 7:32:51 AM,"680","14.6","28","825.0"
31/03/2023 7:37:51 AM,"687","14.5","28","825.0"
31/03/2023 7:42:51 AM,"689","14.5","28","825.1"
31/03/2023 7:47:51 AM,"697","14.4","28","825.1"
31/03/2023 7:52:51 AM,"694","14.4","28","825.0"
31/03/2023 7:57:51 AM,"700","14.4","28","825.1"
31/03/2023 8:02:51 AM,"694","14.3","28","825.1"
31/03/2023 8:07:51 AM,"703","14.3","28","824.9"
31/03/2023 8:12:51 AM,"694","14.4","28","825.2"
31/03/2023 8:17:51 AM,"701","14.7","28","825.1"
31/03/2023 8:22:51 AM,"673","14.7","28","825.1"
31/03/2023 8:27:51 AM,"667","14.7","28","825.1"
31/03/2023 8:32:51 AM,"652","14.7","28","824.8"
31/03/2023 8:37:51 AM,"636","14.6","28","824.9"
31/03/2023 8:42:51 AM,"614","14.0","27","824.9"
31/03/2023 8:47:51 AM,"639","14.0","27","825.1"
31/03/2023 8:52:51 AM,"623","14.0","27","824.8"
31/03/2023 8:57:51 AM,"592","14.0","27","824.7"
31/03/2023 9:02:51 AM,"582","13.8","27","824.6"
31/03/2023 9:07:51 AM,"558","13.8","27","824.4"
31/03/2023 9:12:51 AM,"556","14.0","27","824.3"
31/03/2023 9:17:51 AM,"549","14.3","27","823.9"
31/03/2023 9:22:51 AM,"521","14.2","26","824.1"
31/03/2023 9:27:51 AM,"522","14.2","26","824.5"
31/03/2023 9:32:51 AM,"508","14.1","26","824.7"
31/03/2023 9:37:51 AM,"501","14.1","26","824.0"
31/03/2023 9:42:51 AM,"512","14.0","26","824.3"
31/03/2023 9:47:51 AM,"506","14.0","26","824.3"
31/03/2023 9:52:51 AM,"514","13.9","26","824.2"
31/03/2023 9:57:51 AM,"509","14.1","25","824.3"
31/03/2023 10:02:51 AM,"512","14.3","25","824.1"
31/03/2023 10:07:51 AM,"500","14.3","25","824.6"
31/03/2023 10:12:51 AM,"510","14.1","25","824.3"
31/03/2023 10:17:51 AM,"514","14.2","25","824.6"
31/03/2023 10:22:51 AM,"522","14.1","25","824.8"
31/03/2023 10:27:51 AM,"561","14.1","25","824.6"
31/03/2023 10:32:51 AM,"537","14.1","25","824.8"
31/03/2023 10:37:51 AM,"561","14.0","25","824.7"
31/03/2023 10:42:51 AM,"551","14.1","25","824.9"
31/03/2023 10:47:51 AM,"568","14.4","25","824.8"
31/03/2023 10:52:51 AM,"566","14.5","26","824.7"
31/03/2023 10:57:51 AM,"616","14.5","26","824.5"
31/03/2023 11:02:51 AM,"612","14.6","26","824.7"
31/03/2023 11:07:51 AM,"595","14.6","26","824.5"
31/03/2023 11:12:51 AM,"581","14.6","26","824.3"
31/03/2023 11:17:51 AM,"593","14.6","26","824.5"
31/03/2023 11:22:51 AM,"602","14.6","26","825.0"
31/03/2023 11:27:51 AM,"599","14.5","26","825.0"
31/03/2023 11:32:51 AM,"586","14.5","26","825.3"
31/03/2023 11:37:51 AM,"590","14.5","26","824.8"
31/03/2023 11:42:51 AM,"595","14.5","26","825.1"
31/03/2023 11:47:51 AM,"613","14.5","26","825.1"
31/03/2023 11:52:51 AM,"615","14.5","26","825.6"
31/03/2023 11:57:51 AM,"610","14.5","26","825.3"
31/03/2023 12:02:51 PM,"605","14.5","26","825.5"
31/03/2023 12:07:51 PM,"657","14.6","27","825.3"
31/03/2023 12:12:51 PM,"672","14.5","27","825.3"
31/03/2023 12:17:51 PM,"675","14.6","27","825.6"
31/03/2023 12:22:51 PM,"729","14.6","27","825.6"
31/03/2023 12:27:51 PM,"726","14.6","27","825.7"
31/03/2023 12:32:51 PM,"693","14.6","27","825.8"
31/03/2023 12:37:51 PM,"682","14.5","27","826.0"
31/03/2023 12:42:51 PM,"659","14.5","27","825.9"
31/03/2023 12:47:51 PM,"653","14.5","27","826.1"
31/03/2023 12:52:51 PM,"632","14.6","27","825.9"
31/03/2023 12:57:51 PM,"627","14.6","27","825.7"
31/03/2023 1:02:51 PM,"611","14.6","27","825.6"
31/03/2023 1:07:51 PM,"614","14.5","27","825.4"
31/03/2023 1:12:51 PM,"600","14.5","27","825.0"
31/03/2023 1:17:51 PM,"597","14.6","27","825.5"
31/03/2023 1:22:51 PM,"581","14.6","27","825.4"
31/03/2023 1:27:51 PM,"581","14.6","27","825.4"
31/03/2023 1:32:51 PM,"575","14.6","27","825.6"
31/03/2023 1:37:51 PM,"564","14.6","27","825.4"
31/03/2023 1:42:51 PM,"563","14.6","27","825.0"
31/03/2023 1:47:51 PM,"544","14.6","27","825.4"
31/03/2023 1:52:51 PM,"535","14.6","27","825.5"
31/03/2023 1:57:51 PM,"538","14.6","27","825.3"
31/03/2023 2:02:51 PM,"532","14.6","27","825.7"
31/03/2023 2:07:51 PM,"537","14.6","27","825.5"
31/03/2023 2:12:51 PM,"525","14.6","27","825.7"
31/03/2023 2:17:51 PM,"531","14.6","27","825.5"
31/03/2023 2:22:51 PM,"518","14.6","27","825.7"
31/03/2023 2:27:51 PM,"507","14.6","27","825.8"
31/03/2023 2:32:51 PM,"516","14.6","27","825.6"
31/03/2023 2:37:51 PM,"508","14.6","27","825.3"
31/03/2023 2:42:50 PM,"507","14.7","27","825.7"
31/03/2023 2:47:50 PM,"502","14.7","27","825.6"
31/03/2023 2:52:50 PM,"499","14.7","27","825.8"
31/03/2023 2:57:50 PM,"499","14.8","27","826.0"
31/03/2023 3:02:50 PM,"506","14.8","27","826.2"
31/03/2023 3:07:50 PM,"500","14.8","27","826.0"
31/03/2023 3:12:50 PM,"501","14.8","27","826.3"
31/03/2023 3:17:50 PM,"493","14.8","27","826.3"
31/03/2023 3:22:50 PM,"492","14.8","27","826.3"
31/03/2023 3:27:50 PM,"496","14.8","27","826.2"
31/03/2023 3:32:50 PM,"486","14.8","27","826.8"
31/03/2023 3:37:50 PM,"489","14.8","27","826.4"
31/03/2023 3:42:50 PM,"483","14.9","27","826.4"
31/03/2023 3:47:50 PM,"480","14.8","27","826.8"
31/03/2023 3:52:50 PM,"486","14.9","28","826.6"
31/03/2023 3:57:50 PM,"488","14.8","27","826.4"
31/03/2023 4:02:50 PM,"472","14.8","27","826.4"
31/03/2023 4:07:50 PM,"480","14.9","27","827.0"
31/03/2023 4:12:50 PM,"478","14.8","27","827.5"
31/03/2023 4:17:50 PM,"483","14.9","27","827.3"
31/03/2023 4:22:50 PM,"483","14.9","27","828.3"
31/03/2023 4:27:50 PM,"476","14.8","27","828.7"
31/03/2023 4:32:50 PM,"477","14.8","27","829.1"
31/03/2023 4:37:50 PM,"478","14.8","27","829.5"
31/03/2023 4:42:50 PM,"464","14.8","27","829.4"
31/03/2023 4:47:50 PM,"479","14.8","27","829.4"
31/03/2023 4:52:50 PM,"476","14.8","27","829.6"
31/03/2023 4:57:50 PM,"475","14.7","27","829.8"
31/03/2023 5:02:50 PM,"476","14.8","27","829.8"
31/03/2023 5:07:50 PM,"483","14.8","27","829.9"
31/03/2023 5:12:50 PM,"482","14.9","27","830.0"
31/03/2023 5:17:50 PM,"488","15.2","27","830.2"
31/03/2023 5:22:50 PM,"488","15.2","27","830.1"
31/03/2023 5:27:50 PM,"484","15.3","27","829.8"
31/03/2023 5:32:50 PM,"484","15.3","27","830.2"
31/03/2023 5:37:50 PM,"485","15.3","28","830.5"
31/03/2023 5:42:50 PM,"483","15.3","28","830.4"
31/03/2023 5:47:50 PM,"489","15.3","28","830.7"
31/03/2023 5:52:50 PM,"490","15.3","28","830.8"
31/03/2023 5:57:50 PM,"489","15.2","28","831.0"
31/03/2023 6:02:50 PM,"490","15.2","28","831.1"
31/03/2023 6:07:50 PM,"483","15.2","28","831.0"
31/03/2023 6:12:50 PM,"485","15.2","28","831.1"
31/03/2023 6:17:50 PM,"478","15.2","28","831.2"
31/03/2023 6:22:50 PM,"493","15.2","28","831.1"
31/03/2023 6:27:50 PM,"488","15.2","28","831.4"
31/03/2023 6:32:50 PM,"476","15.2","28","831.4"
31/03/2023 6:37:50 PM,"491","15.2","28","831.6"
31/03/2023 6:42:50 PM,"479","15.2","28","831.8"
31/03/2023 6:47:50 PM,"472","15.2","28","831.8"
31/03/2023 6:52:50 PM,"489","15.2","28","832.0"
31/03/2023 6:57:50 PM,"486","15.1","28","832.1"
31/03/2023 7:02:50 PM,"482","15.1","28","832.3"
31/03/2023 7:07:50 PM,"483","15.1","28","832.5"
31/03/2023 7:12:50 PM,"489","15.1","28","832.3"
31/03/2023 7:17:50 PM,"488","15.1","28","832.4"
31/03/2023 7:22:50 PM,"481","15.0","28","832.6"
31/03/2023 7:27:50 PM,"486","15.0","28","832.8"
31/03/2023 7:32:50 PM,"488","15.0","28","832.9"
31/03/2023 7:37:50 PM,"475","15.0","28","833.2"
31/03/2023 7:42:50 PM,"476","14.9","28","833.3"
31/03/2023 7:47:50 PM,"484","14.9","28","833.2"
31/03/2023 7:52:50 PM,"481","14.9","28","833.3"
31/03/2023 7:57:50 PM,"484","14.9","28","833.4"
31/03/2023 8:02:50 PM,"498","14.9","28","833.8"
31/03/2023 8:07:50 PM,"488","15.0","28","833.6"
31/03/2023 8:12:50 PM,"477","15.2","28","833.7"
31/03/2023 8:17:50 PM,"477","15.3","28","833.9"
31/03/2023 8:22:50 PM,"494","15.3","28","833.8"
31/03/2023 8:27:50 PM,"484","15.3","28","833.7"
31/03/2023 8:32:50 PM,"490","15.3","28","834.2"
31/03/2023 8:37:50 PM,"482","15.3","28","834.2"
31/03/2023 8:42:50 PM,"488","15.2","28","834.4"
